Year,GDP
1993,6.85856E+12
1994,7.28724E+12
1995,7.63975E+12
1996,8.07312E+12
1997,8.57755E+12
1998,9.06282E+12
1999,9.63117E+12
2000,1.0251E+13
2001,1.05819E+13
2002,1.09291E+13
2003,1.14565E+13
2004,1.22172E+13
2005,1.30392E+13
2006,1.38156E+13
2007,1.44742E+13
2008,1.47699E+13
2009,1.44781E+13
2010,1.5049E+13
2011,1.55997E+13
2012,1.6254E+13
2013,1.68807E+13
2014,1.76081E+13
2015,1.8295E+13
2016,1.88049E+13
2017,1.96121E+13
2018,2.06565E+13
2019,2.15214E+13
2020,2.1323E+13
2021,2.3594E+13
2022,2.57441E+13
2023,2.73609E+13
